tweet_date,count,mean,std,min,25%,50%,75%,max,Negative,Neutral,Positive
2022-04-08,1000.0,-0.3056126999999998,0.3739048412618226,-0.969,-0.6249,-0.4215,0.0,0.8225,0.547,0.364,0.089
2022-04-09,1000.0,-0.42465390000000464,0.2859425814821827,-0.9313,-0.5423,-0.5423,-0.48960000000000004,0.8519,0.799,0.146,0.055
2022-04-10,1000.0,-0.28258570000000016,0.389846805498349,-0.9652,-0.6249,-0.4215,0.0,0.9337,0.592,0.283,0.125
2022-04-11,1000.0,-0.2320516000000004,0.41523756920143395,-0.9565,-0.5994,0.0,0.0,0.8225,0.482,0.39,0.128
2022-04-12,1000.0,-0.11082750000000006,0.4458070015560386,-0.9779,-0.4939,0.0,0.0,0.93,0.402,0.367,0.231
2022-04-13,1000.0,-0.29873279999999885,0.40931143332872305,-0.9779,-0.6597,-0.3818,0.0,0.9538,0.545,0.339,0.116
2022-04-14,1000.0,-0.20258240000000052,0.43017785405150244,-0.9666,-0.5994,0.0,0.0,0.9413,0.47,0.36,0.17
2022-04-15,1000.0,-0.0967082,0.49314972067290214,-0.9744,-0.537425,0.0,0.184,0.8834,0.409,0.316,0.275
2022-04-16,1000.0,-0.2824970999999995,0.38820285364377277,-0.9601,-0.6597,-0.1027,0.0,0.8779,0.685,0.218,0.097
2022-04-17,1000.0,-0.26012659999999826,0.3390939408381584,-0.946,-0.3612,-0.3612,0.0,0.91,0.698,0.189,0.113
2022-04-18,1000.0,-0.1568535999999999,0.39504844561322094,-0.9545,-0.4019,0.0,0.0,0.9013,0.489,0.335,0.176
2022-04-19,1000.0,-0.22576249999999976,0.4614693313401432,-0.9531,-0.6288,-0.1531,0.0,0.9001,0.614,0.206,0.18
2022-04-20,1000.0,-0.06826090000000046,0.3965841031509736,-0.9325,-0.25,0.0,0.0772,0.9001,0.46,0.242,0.298
2022-04-21,1000.0,0.004326400000000091,0.467848528060364,-0.9769,-0.3818,0.0,0.4404,0.8625,0.327,0.307,0.366
2022-04-22,1000.0,-0.12406439999999959,0.46986096675582933,-0.9873,-0.5423,0.0,0.0,0.8934,0.4,0.366,0.234
2022-04-23,1000.0,-0.2499567000000007,0.4682144635730592,-0.9735,-0.6808,0.0,0.0,0.9042,0.495,0.355,0.15
2022-04-24,1000.0,-0.282336400000002,0.3843950564125856,-0.9565,-0.4019,-0.4019,0.0,0.8779,0.688,0.189,0.123
2022-04-25,1000.0,-0.1614561,0.38788970696263325,-0.9601,-0.4767,0.0,0.0,0.9013,0.421,0.426,0.153
2022-04-26,1000.0,-0.13288550000000024,0.42387901056238503,-0.9638,-0.5267,0.0,0.0,0.9169,0.465,0.329,0.206
2022-04-27,1000.0,-0.08510130000000014,0.40368006664252637,-0.9136,-0.4767,0.0,0.0772,0.9153,0.376,0.22,0.404
