tweet_date,count,mean,std,min,25%,50%,75%,max,Negative,Neutral,Positive
2022-02-24,146675.0,-0.13183814624168244,0.43149783061783736,-0.9884,-0.4939,0.0,0.0772,0.986,0.4455428668825635,0.29236747912050454,0.262089653996932
2022-02-25,242995.0,-0.08716708821167132,0.45067460090778677,-0.9892,-0.4767,0.0,0.296,0.9836,0.4204942488528571,0.2571452087491512,0.3223605423979917
2022-02-26,271305.0,-0.05880633788537605,0.4589025809096486,-0.996,-0.4404,0.0,0.296,0.9813,0.3984224396896482,0.2526602900794309,0.3489172702309209
2022-02-27,289794.0,-0.06392764135901818,0.45737602841702196,-0.996,-0.4215,0.0,0.296,0.9826,0.4030690766544511,0.256927334589398,0.34000358875615094
2022-02-28,241613.0,-0.10912917268522611,0.4522423769154587,-0.996,-0.5423,0.0,0.1531,0.9914,0.4516685774358168,0.2678001597596156,0.28053126280456764
2022-03-01,253648.0,-0.13064113929538268,0.4735970372361415,-0.9928,-0.5423,0.0,0.1779,0.9836,0.48737620639626567,0.22869488424903803,0.2839289093546963
2022-03-02,274540.0,-0.1255815127121901,0.46640668758039666,-0.9894,-0.5423,0.0,0.1531,0.9869,0.47025934290085236,0.2485794419756684,0.28116121512347925
2022-03-03,258637.0,-0.14166881923319086,0.48267094304727254,-0.9861,-0.5719,0.0,0.1139,0.9836,0.4782301062879634,0.24503068006511056,0.276739213646926
2022-03-04,336626.0,-0.2555451034680522,0.5080582908893949,-0.993,-0.7906,-0.3182,0.0,0.9774,0.5751427400141403,0.19438486629077967,0.23047239369508
2022-03-05,369182.0,-0.12988724666967214,0.4889495886588484,-0.9878,-0.5574,0.0,0.1531,0.9864,0.47876927910894895,0.23450222383539826,0.2867284970556528
2022-03-06,396252.0,-0.18390028037705675,0.4786929939353203,-0.9914,-0.5994,-0.0258,0.0772,0.9836,0.5034876795574533,0.23071176927813614,0.26580055116441054
2022-03-07,402680.0,-0.10854505761399236,0.46516334917689345,-0.9889,-0.5423,0.0,0.1531,0.9836,0.4240165888546737,0.2925747491804907,0.2834086619648356
2022-03-08,353643.0,-0.07193439740075956,0.4885876940490793,-0.9948,-0.5106,0.0,0.34,0.9858,0.4155942574856564,0.25631498432034566,0.3280907581939979
2022-03-09,317359.0,-0.13464037320510897,0.47413611690765933,-0.9944,-0.5574,0.0,0.128,0.9836,0.4645559130196402,0.2559719434457507,0.2794721435346091
2022-03-10,303769.0,-0.13001459200907117,0.47217522592182953,-0.9973,-0.5423,0.0,0.0772,0.9875,0.4542234395214785,0.2799396910152122,0.2658368694633093
2022-03-11,279541.0,-0.13126322113746305,0.4805561221939009,-0.9988,-0.5719,0.0,0.1695,0.9837,0.4759158763830708,0.23738914864009214,0.28669497497683705
2022-03-12,270882.0,-0.10614325610413279,0.4804823163295218,-0.9882,-0.5423,0.0,0.2732,0.9836,0.4406051343389373,0.24068782717197895,0.3187070384890838
2022-03-13,307415.0,-0.16141758860171893,0.49130712978767455,-0.9877,-0.5994,0.0,0.1531,0.9862,0.4911926874095278,0.22777678382642355,0.2810305287640486
2022-03-14,282420.0,-0.10643736775012416,0.49013757217323833,-0.9974,-0.5423,0.0,0.296,0.9899,0.45758090786771477,0.22685008143899157,0.3155690106932937
2022-03-15,323413.0,-0.09324181681000564,0.4789283548791304,-0.9974,-0.5267,0.0,0.2732,0.9983,0.45505901123331466,0.2237726993039859,0.3211682894626994
2022-03-16,288284.0,-0.10791200933799686,0.4910175271226526,-0.9963,-0.5423,0.0,0.2732,0.9899,0.46411871626590445,0.23187551164823578,0.30400577208585977
2022-03-17,313264.0,-0.07606077014913339,0.4903306341056605,-0.9927,-0.5106,0.0,0.34,0.9868,0.4310613412329537,0.2357851524592676,0.33315350630777874
